variable_name,variable_label,value_label_set,value_labels
q33dk,"What is your total household income, including any income or benefits from any source, before tax and before any housing costs?     - DK",labels3,1.0 = Don't know; 2.0 = Prefer not to say
q34,Please could you confirm your full home postcode?,,
mins_activ_bkdwn,Minutes of Moderate Physical Activity in last week (raised breathing rate),labels71,"1.0 = None (0); 2.0 = 1-29 minutes; 3.0 = 30-59 minutes; 4.0 = 60-99 mins; 5.0 = 100-149 mins; 6.0 = 150-299 mins; 7.0 = 300-599 mins; 8.0 = 600-999 mins; 9.0 = 1,000+ mins"
mins_any_bkdwn,Minutes of ANY Physical Activity in last week,labels71,"1.0 = None (0); 2.0 = 1-29 minutes; 3.0 = 30-59 minutes; 4.0 = 60-99 mins; 5.0 = 100-149 mins; 6.0 = 150-299 mins; 7.0 = 300-599 mins; 8.0 = 600-999 mins; 9.0 = 1,000+ mins"
activity_level,OVERALL ACTIVITY LEVELS (based on moderate physical activity only),labels72,1.0 = Inactive (less than 30 mins); 2.0 = Fairly active (30-149 minutes); 3.0 = Active (150+ minutes); 4.0 = Not stated
mins_total_activ,Total ACTIVE mins in last week (moderate activity),,
mins_total_any,Total mins of ANY physical activity in last week,,
lsoa_name,LSOA Name,labels73,"1.0 = Exeter: Alphington Road - Ebrington Road area; 2.0 = Exeter: Beacon Heath area; 3.0 = Exeter: Burnthouse Lane area (Poets); 4.0 = Exeter: Burnthouse Lane area (Rifford Road); 5.0 = Exeter: Burnthouse Lane area (Trees); 6.0 = Exeter: Cathedral and City Centre East; 7.0 = Exeter: City Centre West; 8.0 = Exeter: Countess Wear, Lower Wear; 9.0 = Exeter: Cowick - Barley Farm Road area; 10.0 = Exeter: Cowick - Newman Road area; 11.0 = Exeter: Exwick - Cemetery area; 12.0 = Exeter: Exwick - Farm Hill area; 13.0 = Exeter: Exwick - Redhills area; 14.0 = Exeter: Hamlins Lane and Honeylands area; 15.0 = Exeter: Lancelot Road area; 16.0 = Exeter: Sidwell Street and Clifton Road area; 17.0 = Exeter: Stoke Hill; 18.0 = Exeter: Summerway area; 19.0 = Exeter: Whipton - Leypark Road and Bramley Avenue area; 20.0 = Exeter: Whipton, Hillyfield Road area; 21.0 = Cranbrook"
location,Location,labels74,1.0 = Exeter; 2.0 = Cranbrook
weight,Weight (based on location/gender/age),,
